Date,SiteID,Station,NominalDepth,SamplingDepth,CTD Cast Rep,UniqueID,NH4_ResultID,NH4_Lab,NH4_QC,NH4_QF,NH4_QA,NH4_Comment,NH4_SampleFieldReplicateNumber,NO2_ResultID,NO2_Lab,NO2_QC,NO2_QF,NO2_QA,NO2_Comment,NO2_SampleFieldReplicateNumber,NO3_ResultID,NO3_Lab,NO3_QC,NO3_QF,NO3_QA,NO3_Comment,NO3_SampleFieldReplicateNumber,PO4_ResultID,PO4_Lab,PO4_QC,PO4_QF,PO4_QA,PO4_Comment,PO4_SampleFieldReplicateNumber,SiOH4_ResultID,SiOH4_Lab,SiOH4_QC,SiOH4_QF,SiOH4_QA,SiOH4_Comment,SiOH4_SampleFieldReplicateNumber
1/21/2010,169,ADM001,0,,1,1502538,63518886,0.3037,2,0,3,,1,63518888,0.1658,2,0,3,,1,63518889,28.9213,2,0,3,,1,63518887,2.4357,2,0,3,,1,63518885,59.2355,2,0,3,,1
2/2/2010,169,ADM001,10,5.43,1,1502291,63517653,0.8199,2,0,3,,1,63517651,0.1584,2,0,3,,1,63517650,28.5061,2,0,3,,1,63517652,2.4129,2,0,3,,1,63517654,57.7,2,0,3,,1
2/2/2010,169,ADM001,10,15.16,1,1502292,63517656,0.3329,2,0,3,,1,63517658,0.1396,2,0,3,,1,63517659,28.3509,2,0,3,,1,63517657,2.3946,2,0,3,,1,63517655,56.6305,2,0,3,,1
3/8/2010,169,ADM001,0,3.53,1,1502710,63519746,0.2901,2,0,3,,1,63519748,0.304,2,0,3,,1,63519749,23.6752,2,0,3,,1,63519747,2.0816,2,0,3,,1,63519745,51.4888,2,0,3,,1
4/14/2010,169,ADM001,0,0.97,1,1502555,63518973,0.8423,2,0,3,,1,63518971,0.4212,2,0,3,,1,63518970,20.2417,2,0,3,,1,63518972,2.0405,2,0,3,,1,63518974,50.2959,2,0,3,,1
4/14/2010,169,ADM001,10,10.18,1,1502556,63518976,0.7654,2,0,3,,1,63518978,0.4273,2,0,3,,1,63518979,20.0876,2,0,3,,1,63518977,1.9566,2,0,3,,1,63518975,50.4,2,0,3,,1
5/11/2010,169,ADM001,0,,1,1502601,63519203,1.3543,2,0,3,,1,63519201,0.4249,2,0,3,,1,63519200,11.864,2,0,3,,1,63519202,1.4163,2,0,3,,1,63519204,37.977,2,0,3,,1
6/16/2010,169,ADM001,0,1.25,1,1502891,63520653,1.9699,2,0,3,,1,63520651,0.4327,2,0,3,,1,63520650,14.0208,2,0,3,,1,63520652,1.6184,2,0,3,,1,63520654,35.7968,2,0,3,,1
6/16/2010,169,ADM001,10,10.32,1,1502892,63520656,1.8907,2,0,3,,1,63520658,0.4358,2,0,3,,1,63520659,14.1709,2,0,3,,1,63520657,1.6176,2,0,3,,1,63520655,32.5758,2,0,3,,1
7/13/2010,169,ADM001,0,0.75,1,1502961,63521003,0.907,2,0,3,,1,63521001,0.1668,2,0,3,,1,63521000,10.2497,2,0,3,,1,63521002,1.3271,2,0,3,,1,63521004,23.5819,2,0,3,,1
7/13/2010,169,ADM001,10,9.73,1,1502962,63521006,1.1268,2,0,3,,1,63521008,0.2169,2,0,3,,1,63521009,14.4303,2,0,3,,1,63521007,1.6282,2,0,3,,1,63521005,30.295,2,0,3,,1
8/16/2010,169,ADM001,10,6.70,1,1503031,63521353,1.2832,2,0,3,,1,63521351,0.4257,2,0,3,,1,63521350,13.9884,2,0,3,,1,63521352,1.6838,2,0,3,,1,63521354,32.2716,2,0,3,,1
8/16/2010,169,ADM001,10,9.70,1,1503032,63521356,0.1421,2,0,3,,1,63521358,0.3569,2,0,3,,1,63521359,15.8378,2,0,3,,1,63521357,1.5973,2,0,3,,1,63521355,34.6201,2,0,3,,1
9/28/2010,169,ADM001,0,0.73,1,1503149,63521943,0.015,2,J,3,,1,63521941,0.539,2,0,3,,1,63521940,23.2228,2,0,3,,1,63521942,2.3682,2,J,3,,1,63521944,44.5199,2,0,3,,1
9/28/2010,169,ADM001,10,9.60,1,1503148,63521936,0.0247,2,J,3,,1,63521938,0.5292,2,0,3,,1,63521939,23.0878,2,0,3,,1,63521937,2.3769,2,J,3,,1,63521935,43.4108,2,0,3,,1
10/20/2010,169,ADM001,0,0.72,1,1503252,63522457,0.4735,2,0,3,,1,63522456,0.4348,2,0,3,,1,63522459,22.2438,2,0,3,,1,63522458,2.2741,2,0,3,,1,63522455,46.3198,2,0,3,,1
10/20/2010,169,ADM001,10,9.87,1,1503253,63522462,0.5079,2,0,3,,1,63522463,0.4344,2,0,3,,1,63522460,22.6904,2,0,3,,1,63522461,2.3051,2,0,3,,1,63522464,46.2325,2,0,3,,1
11/8/2010,169,ADM001,0,0.75,1,1503287,63522632,0.9926,2,0,3,,1,63522633,0.4723,2,0,3,,1,63522630,27.4334,2,0,3,,1,63522631,2.6654,2,0,3,,1,63522634,51.6147,2,0,3,,1
11/8/2010,169,ADM001,10,9.52,1,1503288,63522637,1.23,2,0,3,,1,63522636,0.4488,2,0,3,,1,63522639,26.4382,2,0,3,,1,63522638,2.6342,2,0,3,,1,63522635,51.276,2,0,3,,1
12/13/2010,169,ADM001,0,0.70,1,1503386,63523128,0.8691,2,0,3,,1,63523127,0.1134,2,0,3,,1,63523129,28.5213,2,0,3,,1,63523126,2.7347,2,0,3,,1,63523125,61.4453,2,0,3,,1
